datetime,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-03-20 18:42:30,20,8,10.2,67,8.3,0.0,24140.0
2024-03-20 18:54:17,20,10,9.9,68,8.2,0.0,24140.0
2024-03-20 19:14:56,20,13,9.8,69,8.2,0.0,24140.0
2024-03-20 19:38:37,20,14,9.3,67,7.7,0.0,24140.0
2024-03-20 20:18:29,20,19,8.6,71,6.9,0.0,24140.0
2024-03-20 20:40:39,20,17,8.6,71,6.8,0.0,24140.0
2024-03-20 21:17:12,20,18,8.2,72,6.6,0.0,24140.0
2024-03-20 21:38:44,20,20,8.0,73,6.4,0.0,24140.0
2024-03-20 22:15:31,20,20,7.4,76,5.7,0.0,24140.0
2024-03-20 22:38:56,20,20,6.6,83,4.7,0.0,24140.0
2024-03-20 23:18:55,20,20,6.7,82,4.9,0.0,24140.0
2024-03-20 23:38:35,20,20,6.7,81,5.0,0.0,24140.0
2024-03-21 01:12:27,20,19,6.4,82,4.5,0.0,24140.0
2024-03-21 02:06:04,20,18,5.3,83,3.4,0.0,24140.0
2024-03-21 02:39:09,20,18,5.3,82,3.4,0.0,24140.0
2024-03-21 03:19:16,20,19,5.2,83,3.3,0.0,24140.0
2024-03-21 03:38:42,20,19,4.9,83,3.2,0.0,24140.0
2024-03-21 04:21:15,20,19,4.6,86,2.8,0.0,24140.0
2024-03-21 04:39:03,20,20,3.6,94,1.7,0.0,24140.0
2024-03-21 05:16:07,20,20,2.7,100,0.7,0.0,24140.0
2024-03-21 05:38:57,20,18,2.5,100,0.6,0.0,24140.0
