datetime,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-03-20 18:42:31,20,5,10.2,67,8.3,0.0,24140.0
2024-03-20 18:54:17,20,6,9.9,68,8.2,0.0,24140.0
2024-03-20 19:14:57,20,7,9.8,69,8.2,0.0,24140.0
2024-03-20 19:38:38,20,5,9.3,67,7.7,0.0,24140.0
2024-03-20 20:18:30,20,5,8.6,71,6.9,0.0,24140.0
2024-03-20 20:40:39,20,5,8.6,71,6.8,0.0,24140.0
2024-03-20 21:17:12,20,3,8.2,72,6.6,0.0,24140.0
2024-03-20 21:38:45,20,2,8.0,73,6.4,0.0,24140.0
2024-03-20 22:15:31,20,1,7.4,76,5.7,0.0,24140.0
2024-03-20 22:38:57,20,1,6.6,83,4.7,0.0,24140.0
2024-03-20 23:18:56,20,1,6.7,82,4.9,0.0,24140.0
2024-03-20 23:38:35,20,1,6.7,81,5.0,0.0,24140.0
2024-03-21 01:12:28,20,0,6.4,82,4.5,0.0,24140.0
2024-03-21 02:06:04,20,0,5.3,83,3.4,0.0,24140.0
2024-03-21 02:39:09,20,0,5.3,82,3.4,0.0,24140.0
2024-03-21 03:19:17,20,0,5.2,83,3.3,0.0,24140.0
2024-03-21 03:38:43,20,0,4.9,83,3.2,0.0,24140.0
2024-03-21 04:21:16,20,0,4.6,86,2.8,0.0,24140.0
2024-03-21 04:39:04,20,0,3.6,94,1.7,0.0,24140.0
2024-03-21 05:16:08,20,3,2.7,100,0.7,0.0,24140.0
2024-03-21 05:38:58,20,5,2.5,100,0.6,0.0,24140.0
2024-03-21 06:21:58,20,10,3.0,97,1.0,0.0,24140.0
2024-03-21 06:40:52,20,11,3.8,93,1.8,0.0,24140.0
2024-03-21 07:16:26,20,13,6.1,81,4.1,0.0,24140.0
2024-03-21 07:38:37,20,13,7.6,76,5.6,0.0,24140.0
2024-03-21 08:20:45,20,11,10.1,67,8.3,0.0,24140.0
2024-03-21 08:39:35,20,13,11.1,64,9.3,0.0,24140.0
2024-03-21 09:16:48,20,15,13.2,57,11.6,0.0,24140.0
2024-03-21 09:38:32,20,16,13.9,55,12.5,0.0,24140.0
2024-03-21 10:17:07,20,14,15.6,49,14.3,0.0,24140.0
2024-03-21 10:39:08,20,19,16.1,46,14.8,0.0,24140.0
2024-03-21 11:14:58,20,15,16.4,47,15.0,0.0,24140.0
2024-03-21 11:38:32,20,16,17.0,46,15.8,0.0,24140.0
2024-03-21 12:30:24,20,12,17.7,47,16.0,0.0,24140.0
2024-03-21 12:52:08,20,13,17.8,48,15.9,0.0,24140.0
2024-03-21 13:21:14,20,6,17.6,49,15.7,0.0,24140.0
2024-03-21 13:38:49,20,7,17.1,47,15.6,0.0,24140.0
2024-03-21 14:16:19,20,17,16.6,51,15.6,0.1,24140.0
2024-03-21 14:38:36,20,20,16.4,52,15.4,0.1,24140.0
2024-03-21 15:18:24,20,19,15.9,56,14.8,0.0,24140.0
2024-03-21 15:40:05,20,18,15.8,58,14.9,0.0,24140.0
2024-03-21 16:23:28,20,13,15.2,63,14.7,0.0,24140.0
2024-03-21 16:42:11,20,16,15.4,60,14.3,0.0,24140.0
2024-03-21 17:15:39,20,14,14.1,69,13.0,0.0,24140.0
