datetime,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-03-20 18:42:37,20,8,9.4,69,7.0,0.0,24140.0
2024-03-20 18:54:22,20,8,9.1,70,6.8,0.0,24140.0
2024-03-20 19:15:02,20,9,8.5,72,6.4,0.0,24140.0
2024-03-20 19:38:46,20,9,8.2,72,6.2,0.0,24140.0
2024-03-20 20:18:39,20,7,7.7,76,5.8,0.0,24140.0
2024-03-20 20:40:45,20,7,8.1,74,6.3,0.0,24140.0
2024-03-20 21:17:18,20,8,8.9,70,7.3,0.0,24140.0
2024-03-20 21:38:50,20,9,8.7,70,7.1,0.0,24140.0
2024-03-20 22:15:38,20,9,8.2,71,6.4,0.0,24140.0
2024-03-20 22:39:04,20,9,7.7,75,5.8,0.0,24140.0
2024-03-20 23:19:01,20,9,7.2,77,5.3,0.0,24140.0
2024-03-20 23:38:40,20,9,6.8,79,5.2,0.0,24140.0
2024-03-21 01:12:36,20,9,6.1,83,4.1,0.0,24140.0
2024-03-21 02:06:10,20,9,4.7,89,3.0,0.0,24140.0
2024-03-21 02:39:15,20,8,4.3,92,2.7,0.0,24140.0
2024-03-21 03:19:25,20,8,4.1,93,2.4,0.0,24140.0
2024-03-21 03:38:48,20,8,4.1,92,2.4,0.0,24140.0
2024-03-21 04:21:25,20,8,3.8,93,2.0,0.0,24140.0
2024-03-21 04:39:11,20,8,2.5,100,0.6,0.0,24140.0
2024-03-21 05:16:16,20,8,2.2,100,0.3,0.0,24140.0
2024-03-21 05:39:04,20,8,1.9,100,-0.1,0.0,24140.0
2024-03-21 06:22:06,20,10,1.9,98,-0.1,0.0,24140.0
2024-03-21 06:41:00,20,12,2.8,94,0.9,0.0,24140.0
2024-03-21 07:16:34,20,10,5.3,84,3.6,0.0,24140.0
2024-03-21 07:38:43,20,11,6.5,78,4.8,0.0,24140.0
2024-03-21 08:20:51,20,11,9.3,67,7.6,0.0,24140.0
2024-03-21 08:39:42,20,11,10.3,64,8.6,0.0,24140.0
2024-03-21 09:16:55,20,12,12.6,58,11.1,0.0,24140.0
2024-03-21 09:38:41,20,12,13.5,55,12.0,0.0,24140.0
2024-03-21 10:17:12,20,13,15.4,50,14.3,0.0,24140.0
2024-03-21 10:39:14,20,13,16.0,48,14.9,0.0,24140.0
2024-03-21 11:15:03,20,15,16.6,48,15.5,0.0,24140.0
2024-03-21 11:38:39,20,16,17.0,48,15.8,0.0,24140.0
2024-03-21 12:30:33,20,19,17.6,49,16.0,0.0,24140.0
2024-03-21 12:52:16,20,19,17.6,48,15.8,0.0,24140.0
2024-03-21 13:21:21,20,18,17.6,49,15.6,0.0,24140.0
2024-03-21 13:38:56,20,14,17.4,45,15.6,0.0,24140.0
2024-03-21 14:16:24,20,14,17.0,49,15.6,0.0,24140.0
2024-03-21 14:38:42,20,16,16.6,52,15.5,0.2,24140.0
2024-03-21 15:18:29,20,14,15.8,57,14.9,0.0,24140.0
2024-03-21 15:40:11,20,16,15.6,59,14.9,0.0,24140.0
2024-03-21 16:23:35,20,8,15.1,63,14.3,0.0,24140.0
2024-03-21 16:42:16,20,10,15.2,62,14.1,0.0,24140.0
2024-03-21 17:15:47,20,10,14.1,70,12.8,0.0,24140.0
2024-03-21 17:38:59,20,14,13.6,72,12.3,0.1,24140.0
2024-03-21 18:21:23,20,10,12.6,74,11.1,0.0,23440.0
2024-03-21 18:38:37,20,10,12.3,74,10.8,0.0,23440.0
2024-03-21 19:15:57,20,12,11.6,75,10.0,0.0,24140.0
2024-03-21 19:38:26,20,13,12.9,63,10.4,0.0,24140.0
2024-03-21 20:18:32,20,11,12.2,63,9.7,0.0,24140.0
2024-03-21 20:39:23,20,11,11.9,65,9.3,0.0,24140.0
2024-03-21 21:16:59,20,12,11.2,68,8.5,0.0,24140.0
2024-03-21 21:38:51,20,13,11.1,68,8.4,0.0,24140.0
2024-03-21 22:16:55,20,14,11.1,68,8.3,0.0,24140.0
2024-03-21 22:39:40,20,14,11.9,66,9.3,0.0,24140.0
2024-03-21 23:19:27,20,14,11.5,66,9.1,0.0,24140.0
2024-03-21 23:38:34,20,14,11.6,65,9.1,0.0,24140.0
2024-03-22 01:11:13,20,15,12.0,60,9.0,0.0,24140.0
2024-03-22 02:03:52,20,15,11.5,65,8.7,0.0,24140.0
2024-03-22 02:38:42,20,15,11.4,65,8.6,0.0,24140.0
2024-03-22 03:18:41,20,15,11.2,65,8.4,0.0,24140.0
2024-03-22 03:38:21,20,15,11.1,65,8.3,0.0,24140.0
2024-03-22 04:19:52,20,15,10.8,65,8.0,0.0,24140.0
2024-03-22 04:38:50,20,15,11.6,64,9.0,0.0,24140.0
2024-03-22 05:19:18,20,16,11.2,64,8.7,0.0,24140.0
2024-03-22 05:38:47,20,17,11.2,64,8.9,0.0,24140.0
2024-03-22 06:22:24,20,18,11.5,63,9.6,0.0,24140.0
2024-03-22 06:38:47,20,20,11.7,64,10.2,0.0,24140.0
2024-03-22 07:16:39,20,6,12.4,64,11.3,0.0,24140.0
2024-03-22 07:38:43,20,7,13.2,60,12.2,0.0,24140.0
2024-03-22 08:22:12,20,9,14.2,59,13.1,0.0,24140.0
2024-03-22 08:38:32,20,10,14.6,57,13.5,0.0,24140.0
2024-03-22 09:19:52,20,14,15.7,50,14.1,0.0,24140.0
2024-03-22 09:39:14,20,14,16.0,48,14.1,0.0,24140.0
2024-03-22 10:19:00,20,16,16.6,41,13.8,0.0,24140.0
2024-03-22 10:39:03,20,16,17.0,39,14.0,0.0,24140.0
2024-03-22 11:14:42,20,17,17.2,37,13.9,0.0,24140.0
2024-03-22 11:38:50,20,20,17.6,37,14.4,0.0,24140.0
2024-03-22 12:30:47,20,20,18.2,36,15.0,0.0,24140.0
2024-03-22 12:51:30,20,20,18.4,35,15.1,0.0,24140.0
2024-03-22 13:18:32,20,20,18.7,34,15.8,0.0,24140.0
2024-03-22 13:38:55,20,19,19.0,34,16.4,0.0,24140.0
2024-03-22 14:16:56,20,14,19.0,33,16.6,0.0,24140.0
2024-03-22 14:38:44,20,16,19.0,31,16.4,0.0,24140.0
2024-03-22 15:17:17,20,18,18.7,30,16.0,0.0,24140.0
2024-03-22 15:39:47,20,17,18.4,34,15.9,0.0,24140.0
2024-03-22 16:22:12,20,16,17.5,44,15.2,0.0,24140.0
2024-03-22 16:40:01,20,12,17.4,42,14.9,0.0,24140.0
2024-03-22 17:15:10,20,10,15.9,47,13.7,0.0,24140.0
2024-03-22 17:38:49,20,10,15.3,48,13.1,0.0,24140.0
2024-03-22 18:20:25,20,10,13.9,52,11.9,0.0,24140.0
2024-03-22 18:38:37,20,12,13.5,54,11.9,0.0,24140.0
2024-03-22 19:15:50,20,15,12.9,56,11.4,0.0,24140.0
2024-03-22 19:38:36,20,18,12.4,51,10.4,0.0,24140.0
2024-03-22 20:18:24,20,18,12.1,49,9.9,0.0,24140.0
