datetime,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-03-20 18:42:31,22,13,9.7,70,8.3,0.0,24140.0
2024-03-20 18:54:17,22,12,9.1,72,7.7,0.0,24140.0
2024-03-20 19:14:56,22,10,8.8,74,7.3,0.0,24140.0
2024-03-20 19:38:38,22,10,8.2,75,6.5,0.0,24140.0
2024-03-20 20:18:30,22,15,8.1,75,6.5,0.0,24140.0
2024-03-20 20:40:39,22,15,8.1,74,6.4,0.0,24140.0
2024-03-20 21:17:12,22,16,7.8,74,6.1,0.0,24140.0
2024-03-20 21:38:45,22,16,7.3,76,5.6,0.0,24140.0
2024-03-20 22:15:31,22,12,6.4,80,4.6,0.0,24140.0
2024-03-20 22:38:57,22,11,5.4,90,3.7,0.0,24140.0
2024-03-20 23:18:56,22,8,5.5,89,3.7,0.0,24140.0
2024-03-20 23:38:35,22,8,5.5,88,3.7,0.0,24140.0
2024-03-21 01:12:27,22,7,4.9,89,3.1,0.0,24140.0
2024-03-21 02:06:04,22,9,3.8,90,1.7,0.0,24140.0
2024-03-21 02:39:09,22,9,4.0,89,1.9,0.0,24140.0
2024-03-21 03:19:16,22,9,4.1,87,2.1,0.0,24140.0
2024-03-21 03:38:42,22,9,4.1,86,2.1,0.0,24140.0
2024-03-21 04:21:16,22,9,4.1,86,2.0,0.0,24140.0
2024-03-21 04:39:03,22,10,3.2,94,1.1,0.0,24140.0
2024-03-21 05:16:07,22,12,2.6,98,0.4,0.0,24140.0
2024-03-21 05:38:58,22,16,2.4,99,0.3,0.0,24140.0
2024-03-21 06:21:57,22,17,2.7,98,0.5,0.0,24140.0
2024-03-21 06:40:51,22,21,3.4,96,1.4,0.0,24140.0
2024-03-21 07:16:26,22,21,5.9,86,3.9,0.0,24140.0
2024-03-21 07:38:37,22,20,7.6,78,5.7,0.0,24140.0
2024-03-21 08:20:44,22,22,10.6,66,8.6,0.0,24140.0
2024-03-21 08:39:35,22,20,11.4,63,9.5,0.0,24140.0
2024-03-21 09:16:48,22,19,13.5,56,11.8,0.0,24140.0
2024-03-21 09:38:32,22,22,14.2,54,12.7,0.0,24140.0
2024-03-21 10:17:06,22,18,15.9,49,14.5,0.0,24140.0
2024-03-21 10:39:08,22,17,16.4,47,15.0,0.0,24140.0
2024-03-21 11:14:58,22,17,16.5,48,15.0,0.0,24140.0
2024-03-21 11:38:32,22,13,17.2,47,15.9,0.0,24140.0
2024-03-21 12:30:24,22,22,17.8,48,16.0,0.0,24140.0
2024-03-21 12:52:07,22,19,17.9,49,15.8,0.0,24140.0
2024-03-21 13:21:14,22,21,17.6,51,15.6,0.0,24140.0
2024-03-21 13:38:49,22,22,17.2,47,15.5,0.0,24140.0
2024-03-21 14:16:19,22,13,16.5,51,15.0,0.1,24140.0
2024-03-21 14:38:36,22,5,16.2,54,14.9,0.1,24140.0
2024-03-21 15:18:23,22,7,15.6,60,14.5,0.0,24140.0
2024-03-21 15:40:05,22,9,15.4,62,14.6,0.0,24140.0
2024-03-21 16:23:28,22,18,14.9,67,14.5,0.0,24140.0
2024-03-21 16:42:11,22,14,15.2,65,14.3,0.0,24140.0
2024-03-21 17:15:38,22,8,13.9,74,12.9,0.0,24140.0
2024-03-21 17:38:53,22,9,13.5,74,12.3,0.1,24140.0
2024-03-21 18:21:17,22,8,12.4,76,11.0,0.0,23440.0
2024-03-21 18:38:28,22,6,11.9,77,10.6,0.0,23440.0
2024-03-21 19:15:51,22,3,10.8,79,9.4,0.0,24140.0
2024-03-21 19:38:20,22,1,12.1,68,9.8,0.0,24140.0
2024-03-21 20:18:25,22,3,11.5,68,9.1,0.0,24140.0
2024-03-21 20:39:17,22,1,10.9,71,8.7,0.0,24140.0
2024-03-21 21:16:53,22,1,10.0,75,7.8,0.0,24140.0
2024-03-21 21:38:45,22,1,10.0,75,7.7,0.0,24140.0
2024-03-21 22:16:48,22,1,10.0,73,7.6,0.0,24140.0
2024-03-21 22:39:32,22,0,11.2,69,9.0,0.0,24140.0
2024-03-21 23:19:22,22,1,11.1,69,9.0,0.0,24140.0
2024-03-21 23:38:28,22,4,11.1,68,9.0,0.0,24140.0
2024-03-22 01:11:06,22,5,11.4,66,9.0,0.0,24140.0
2024-03-22 02:03:43,22,7,10.9,69,8.5,0.0,24140.0
2024-03-22 02:38:33,22,6,10.8,69,8.3,0.0,24140.0
2024-03-22 03:18:35,22,5,10.6,69,8.0,0.0,24140.0
2024-03-22 03:38:16,22,5,10.4,69,7.9,0.0,24140.0
2024-03-22 04:19:45,22,5,10.0,69,7.3,0.0,24140.0
2024-03-22 04:38:43,22,6,10.9,68,8.3,0.0,24140.0
2024-03-22 05:19:09,22,8,10.4,68,7.7,0.0,24140.0
2024-03-22 05:38:40,22,9,10.4,69,7.7,0.0,24140.0
2024-03-22 06:22:17,22,12,10.9,68,8.1,0.0,24140.0
2024-03-22 06:38:41,22,21,11.2,67,8.6,0.0,24140.0
2024-03-22 07:16:29,22,22,12.4,64,9.9,0.0,24140.0
2024-03-22 07:38:37,22,22,12.9,61,10.5,0.0,24140.0
2024-03-22 08:22:06,22,10,14.1,57,12.0,0.0,24140.0
2024-03-22 08:38:26,22,13,14.7,53,12.7,0.0,24140.0
2024-03-22 09:19:46,22,20,15.9,45,14.1,0.0,24140.0
2024-03-22 09:39:08,22,17,16.4,44,14.8,0.0,24140.0
2024-03-22 10:18:52,22,20,17.2,42,15.3,0.0,24140.0
2024-03-22 10:38:57,22,22,17.2,40,14.9,0.0,24140.0
2024-03-22 11:14:32,22,20,17.6,39,15.1,0.0,24140.0
2024-03-22 11:38:41,22,22,18.1,37,16.1,0.0,24140.0
2024-03-22 12:30:37,22,20,18.6,37,16.7,0.0,24140.0
2024-03-22 12:51:24,22,22,18.6,38,16.4,0.0,24140.0
2024-03-22 13:18:24,22,22,18.7,37,15.9,0.0,24140.0
2024-03-22 13:38:49,22,22,18.9,32,15.6,0.0,24140.0
2024-03-22 14:16:46,22,21,18.8,32,15.5,0.0,24140.0
2024-03-22 14:38:34,22,22,18.7,32,15.6,0.0,24140.0
2024-03-22 15:17:11,22,17,18.4,33,15.7,0.0,24140.0
2024-03-22 15:39:41,22,15,18.2,34,15.8,0.0,24140.0
2024-03-22 16:22:03,22,12,17.5,37,15.2,0.0,24140.0
2024-03-22 16:39:51,22,13,17.1,42,15.2,0.0,24140.0
2024-03-22 17:15:02,22,11,15.2,53,13.6,0.0,24140.0
2024-03-22 17:38:41,22,16,14.1,57,12.4,0.0,24140.0
2024-03-22 18:20:19,22,11,11.8,62,9.8,0.0,24140.0
2024-03-22 18:38:28,22,8,11.4,61,9.5,0.0,24140.0
2024-03-22 19:15:42,22,9,11.0,60,9.1,0.0,24140.0
2024-03-22 19:38:29,22,9,10.8,60,8.7,0.0,24140.0
2024-03-22 20:18:17,22,7,10.6,59,8.5,0.0,24140.0
2024-03-22 20:38:42,22,2,10.4,60,8.4,0.0,24140.0
2024-03-22 21:15:34,22,2,9.9,61,7.9,0.0,24140.0
2024-03-22 21:38:49,22,0,9.7,61,7.7,0.0,24140.0
2024-03-22 22:17:17,22,0,9.4,60,7.3,0.0,24140.0
2024-03-22 22:38:42,22,0,8.7,63,6.6,0.0,24140.0
2024-03-22 23:16:42,22,0,8.6,62,6.8,0.0,24140.0
2024-03-22 23:39:55,22,0,8.6,63,6.7,0.0,24140.0
2024-03-23 01:09:56,22,2,8.2,65,6.3,0.0,24140.0
2024-03-23 02:04:29,22,0,7.2,75,5.3,0.0,24140.0
2024-03-23 02:39:05,22,0,6.8,78,4.8,0.0,24140.0
2024-03-23 03:19:13,22,0,6.0,84,4.2,0.0,24140.0
2024-03-23 03:39:01,22,0,5.6,87,3.9,0.0,24140.0
2024-03-23 04:21:32,22,0,5.1,93,3.5,0.0,24140.0
2024-03-23 04:39:05,22,0,5.8,85,4.0,0.0,24140.0
2024-03-23 05:17:34,22,0,5.6,89,3.8,0.0,24140.0
2024-03-23 05:38:41,22,0,5.3,92,3.7,0.0,24140.0
2024-03-23 06:25:36,22,0,5.6,97,4.1,0.0,24140.0
2024-03-23 06:40:59,22,2,6.3,94,4.9,0.0,24140.0
2024-03-23 07:16:48,22,5,8.6,84,7.2,0.0,24140.0
2024-03-23 07:38:59,22,6,9.5,78,8.0,0.0,24140.0
2024-03-23 08:19:26,22,7,12.1,63,10.6,0.0,24140.0
2024-03-23 08:38:29,22,13,13.0,61,11.5,0.0,24140.0
2024-03-23 09:16:39,22,14,14.9,55,13.7,0.0,24140.0
2024-03-23 09:38:35,22,13,15.8,53,14.6,0.0,24140.0
2024-03-23 10:17:20,22,13,17.6,50,16.8,0.0,24140.0
2024-03-23 10:38:42,22,14,16.6,52,15.5,0.0,24140.0
2024-03-23 11:13:02,22,12,17.5,49,15.9,0.0,24140.0
2024-03-23 11:39:25,22,12,18.4,46,17.1,0.0,24140.0
2024-03-23 12:31:30,22,13,19.5,42,17.8,0.0,24140.0
2024-03-23 13:17:29,22,13,19.9,40,16.2,0.0,24140.0
2024-03-23 13:38:26,22,14,19.5,37,15.3,0.0,24140.0
2024-03-23 14:14:29,22,17,19.3,37,15.5,0.0,24140.0
2024-03-23 14:38:41,22,15,18.9,39,15.5,0.0,24140.0
2024-03-23 15:18:27,22,13,18.2,42,15.2,0.0,24140.0
2024-03-23 15:38:27,22,9,17.9,42,14.9,0.0,24140.0
2024-03-23 16:20:07,22,13,17.0,44,14.2,0.0,24140.0
2024-03-23 16:38:36,22,13,16.5,46,13.9,0.0,24140.0
2024-03-23 17:15:18,22,14,14.2,52,10.9,0.0,22520.0
2024-03-23 17:38:39,22,12,12.1,57,8.4,0.0,24140.0
2024-03-23 18:19:44,22,13,7.8,70,3.5,0.1,6780.0
2024-03-23 18:38:44,22,12,7.4,73,3.1,0.5,6780.0
2024-03-23 19:13:20,22,11,6.9,77,2.8,0.2,5420.0
2024-03-23 19:38:40,22,9,6.7,75,2.5,0.6,5420.0
2024-03-23 20:17:59,22,9,6.3,76,2.2,0.9,4740.0
2024-03-23 20:38:41,22,9,6.0,78,2.3,0.8,4740.0
2024-03-23 21:14:16,22,9,5.6,81,2.3,0.1,1680.0
2024-03-23 21:38:29,22,7,5.6,80,2.7,0.0,1680.0
2024-03-23 22:16:05,22,7,5.7,79,3.2,0.0,3460.0
2024-03-23 22:38:35,22,7,5.8,78,3.5,0.0,3460.0
2024-03-23 23:16:13,22,5,5.6,81,3.5,0.0,10060.0
2024-03-23 23:38:32,22,4,5.2,84,2.9,0.0,11680.0
2024-03-24 01:17:56,22,3,4.4,88,2.2,0.0,10720.0
2024-03-24 02:09:47,22,4,3.6,91,1.2,0.0,16140.0
2024-03-24 02:39:40,22,4,3.7,90,1.5,0.0,16140.0
2024-03-24 03:17:32,22,4,3.8,89,1.7,0.0,24140.0
2024-03-24 03:38:31,22,4,3.7,90,1.6,0.0,24140.0
2024-03-24 04:22:03,22,3,3.5,92,1.4,0.0,16100.0
2024-03-24 04:39:16,22,3,3.7,90,1.6,0.0,16100.0
2024-03-24 05:16:34,22,3,3.8,89,1.8,0.0,16040.0
2024-03-24 05:38:20,22,3,3.9,88,1.9,0.0,16040.0
2024-03-24 06:21:36,22,3,4.4,86,2.5,0.0,24140.0
2024-03-24 06:38:52,22,3,4.9,84,3.0,0.0,24140.0
2024-03-24 07:15:11,22,3,6.3,77,4.3,0.0,24140.0
2024-03-24 07:39:14,22,3,6.3,80,4.5,0.0,24140.0
2024-03-24 08:19:31,22,6,8.1,68,6.2,0.0,24140.0
2024-03-24 08:39:02,22,8,8.6,64,6.6,0.0,24140.0
2024-03-24 09:18:23,22,11,9.9,56,7.9,0.0,24140.0
