datetime,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-03-20 18:42:36,20,7,10.2,65,7.6,0.0,24140.0
2024-03-20 18:54:22,20,8,9.9,66,7.5,0.0,24140.0
2024-03-20 19:15:01,20,7,9.5,67,7.2,0.0,24140.0
2024-03-20 19:38:45,20,7,9.3,65,7.1,0.0,24140.0
2024-03-20 20:18:38,20,10,8.5,69,6.7,0.0,24140.0
2024-03-20 20:40:44,20,12,8.3,69,6.5,0.0,24140.0
2024-03-20 21:17:17,20,11,7.9,70,6.1,0.0,24140.0
2024-03-20 21:38:49,20,11,7.8,70,6.0,0.0,24140.0
2024-03-20 22:15:37,20,12,7.6,70,5.6,0.0,24140.0
2024-03-20 22:39:03,20,15,6.8,81,5.0,0.0,24140.0
2024-03-20 23:19:00,20,15,6.4,82,4.5,0.0,24140.0
2024-03-20 23:38:40,20,15,6.3,82,4.5,0.0,24140.0
2024-03-21 01:12:35,20,15,5.6,86,3.5,0.0,24140.0
2024-03-21 02:06:09,20,16,4.6,91,2.6,0.0,24140.0
2024-03-21 02:39:14,20,16,4.5,91,2.7,0.0,24140.0
2024-03-21 03:19:24,20,16,4.4,91,2.7,0.0,24140.0
2024-03-21 03:38:47,20,15,4.4,92,2.7,0.0,24140.0
2024-03-21 04:21:24,20,15,4.2,93,2.5,0.0,24140.0
2024-03-21 04:39:09,20,15,2.7,99,0.8,0.0,24140.0
2024-03-21 05:16:14,20,16,1.8,100,-0.1,0.0,24140.0
2024-03-21 05:39:03,20,16,1.6,100,-0.3,0.0,24140.0
2024-03-21 06:22:05,20,16,2.0,99,0.1,0.0,24140.0
2024-03-21 06:40:59,20,17,3.0,97,1.1,0.0,24140.0
2024-03-21 07:16:32,20,16,5.8,88,4.2,0.0,24140.0
2024-03-21 07:38:42,20,16,6.8,83,5.0,0.0,24140.0
2024-03-21 08:20:50,20,17,9.9,68,8.2,0.0,24140.0
2024-03-21 08:39:41,20,16,10.9,65,9.1,0.0,24140.0
2024-03-21 09:16:54,20,16,13.1,58,11.6,0.0,24140.0
2024-03-21 09:38:39,20,16,13.9,56,12.6,0.0,24140.0
2024-03-21 10:17:11,20,17,15.6,50,14.6,0.0,24140.0
2024-03-21 10:39:13,20,17,16.0,48,15.1,0.0,24140.0
2024-03-21 11:15:02,20,15,16.6,47,15.6,0.0,24140.0
2024-03-21 11:38:38,20,14,16.9,47,15.9,0.0,24140.0
2024-03-21 12:30:31,20,11,17.6,47,16.0,0.0,24140.0
2024-03-21 12:52:15,20,9,17.7,47,15.9,0.0,24140.0
2024-03-21 13:21:20,20,6,17.6,48,15.7,0.0,24140.0
2024-03-21 13:38:55,20,4,17.2,44,15.5,0.0,24140.0
2024-03-21 14:16:23,20,1,17.0,47,15.5,0.0,24140.0
2024-03-21 14:38:41,20,11,16.6,50,15.2,0.2,24140.0
2024-03-21 15:18:28,20,7,15.8,58,14.8,0.0,24140.0
2024-03-21 15:40:10,20,6,15.5,61,14.8,0.1,24140.0
2024-03-21 16:23:34,20,5,14.9,67,14.5,0.0,24140.0
2024-03-21 16:42:15,20,5,15.1,60,14.0,0.0,24140.0
2024-03-21 17:15:46,20,13,14.1,61,12.6,0.0,24140.0
2024-03-21 17:38:58,20,14,13.6,66,12.4,0.0,24140.0
2024-03-21 18:21:22,20,14,12.6,75,11.8,0.0,23440.0
2024-03-21 18:38:35,20,14,12.4,75,11.6,0.0,23440.0
2024-03-21 19:15:56,20,13,11.8,75,10.8,0.0,24140.0
2024-03-21 19:38:25,20,12,12.1,72,10.6,0.0,24140.0
2024-03-21 20:18:31,20,11,11.2,73,9.6,0.0,24140.0
2024-03-21 20:39:22,20,14,10.9,74,9.2,0.0,24140.0
2024-03-21 21:16:58,20,13,10.1,75,8.2,0.0,24140.0
