datetime,bike_stands,available_bike_stands,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-03-20 18:42:31,20,15,10.1,67,8.2,0.0,24140.0
2024-03-20 18:54:17,20,16,9.9,68,8.2,0.0,24140.0
2024-03-20 19:14:57,20,16,9.7,69,8.2,0.0,24140.0
2024-03-20 19:38:39,20,16,9.2,67,7.6,0.0,24140.0
2024-03-20 20:18:31,20,14,8.6,71,6.8,0.0,24140.0
2024-03-20 20:40:40,20,13,8.5,71,6.8,0.0,24140.0
2024-03-20 21:17:13,20,15,8.2,72,6.6,0.0,24140.0
2024-03-20 21:38:45,20,15,7.9,73,6.3,0.0,24140.0
2024-03-20 22:15:32,20,18,7.4,76,5.7,0.0,24140.0
2024-03-20 22:38:57,20,18,6.5,83,4.7,0.0,24140.0
2024-03-20 23:18:56,20,18,6.7,82,4.9,0.0,24140.0
2024-03-20 23:38:36,20,18,6.7,81,4.9,0.0,24140.0
2024-03-21 01:12:28,20,18,6.3,82,4.4,0.0,24140.0
2024-03-21 02:06:05,20,18,5.3,83,3.3,0.0,24140.0
2024-03-21 02:39:10,20,18,5.2,82,3.4,0.0,24140.0
2024-03-21 03:19:17,20,18,5.1,83,3.3,0.0,24140.0
2024-03-21 03:38:43,20,18,4.9,83,3.2,0.0,24140.0
2024-03-21 04:21:17,20,18,4.5,86,2.7,0.0,24140.0
2024-03-21 04:39:04,20,18,3.6,94,1.7,0.0,24140.0
2024-03-21 05:16:08,20,18,2.6,100,0.6,0.0,24140.0
2024-03-21 05:38:58,20,17,2.5,100,0.6,0.0,24140.0
2024-03-21 06:21:58,20,16,2.9,97,1.0,0.0,24140.0
2024-03-21 06:40:52,20,16,3.7,93,1.8,0.0,24140.0
2024-03-21 07:16:27,20,18,6.1,81,4.1,0.0,24140.0
2024-03-21 07:38:38,20,16,7.6,76,5.6,0.0,24140.0
2024-03-21 08:20:45,20,14,10.1,67,8.2,0.0,24140.0
2024-03-21 08:39:36,20,13,11.1,64,9.2,0.0,24140.0
2024-03-21 09:16:49,20,15,13.1,57,11.5,0.0,24140.0
2024-03-21 09:38:33,20,10,13.9,55,12.4,0.0,24140.0
2024-03-21 10:17:07,20,10,15.6,49,14.3,0.0,24140.0
2024-03-21 10:39:09,20,11,16.0,46,14.7,0.0,24140.0
2024-03-21 11:14:58,20,18,16.3,47,14.9,0.0,24140.0
2024-03-21 11:38:32,20,20,17.0,46,15.7,0.0,24140.0
2024-03-21 12:30:25,20,14,17.6,47,15.9,0.0,24140.0
2024-03-21 12:52:08,20,20,17.7,48,15.8,0.0,24140.0
2024-03-21 13:21:15,20,15,17.6,49,15.6,0.0,24140.0
2024-03-21 13:38:50,20,15,17.1,47,15.5,0.0,24140.0
2024-03-21 14:16:19,20,13,16.5,51,15.5,0.1,24140.0
2024-03-21 14:38:36,20,17,16.4,52,15.4,0.1,24140.0
2024-03-21 15:18:24,20,18,15.9,56,14.7,0.0,24140.0
2024-03-21 15:40:06,20,20,15.7,58,14.8,0.0,24140.0
2024-03-21 16:23:28,20,20,15.2,63,14.7,0.0,24140.0
2024-03-21 16:42:11,20,20,15.4,60,14.3,0.0,24140.0
2024-03-21 17:15:39,20,11,14.1,69,12.9,0.0,24140.0
2024-03-21 17:38:54,20,10,13.6,72,12.5,0.1,24140.0
2024-03-21 18:21:18,20,13,12.5,77,11.5,0.0,23440.0
2024-03-21 18:38:29,20,15,12.2,77,11.2,0.0,23440.0
2024-03-21 19:15:52,20,14,11.2,77,10.2,0.0,24140.0
2024-03-21 19:38:21,20,15,12.1,69,10.2,0.0,24140.0
2024-03-21 20:18:26,20,15,11.4,70,9.5,0.0,24140.0
2024-03-21 20:39:18,20,15,10.9,73,9.1,0.0,24140.0
2024-03-21 21:16:54,20,11,9.9,76,8.0,0.0,24140.0
2024-03-21 21:38:45,20,10,9.9,75,8.0,0.0,24140.0
2024-03-21 22:16:49,20,10,9.9,73,7.9,0.0,24140.0
2024-03-21 22:39:33,20,10,11.1,71,9.5,0.0,24140.0
2024-03-21 23:19:23,20,10,10.9,71,9.2,0.0,24140.0
2024-03-21 23:38:29,20,10,10.9,70,9.2,0.0,24140.0
2024-03-22 01:11:07,20,10,11.2,66,9.0,0.0,24140.0
2024-03-22 02:03:44,20,10,10.7,69,8.6,0.0,24140.0
2024-03-22 02:38:34,20,10,10.6,70,8.4,0.0,24140.0
2024-03-22 03:18:36,20,10,10.4,70,8.2,0.0,24140.0
2024-03-22 03:38:16,20,10,10.2,70,7.9,0.0,24140.0
2024-03-22 04:19:46,20,10,9.8,70,7.4,0.0,24140.0
2024-03-22 04:38:43,20,10,10.7,69,8.5,0.0,24140.0
2024-03-22 05:19:10,20,10,10.3,69,7.9,0.0,24140.0
2024-03-22 05:38:40,20,10,10.4,69,7.9,0.0,24140.0
2024-03-22 06:22:18,20,3,10.6,68,8.2,0.0,24140.0
2024-03-22 06:38:42,20,3,11.1,68,8.8,0.0,24140.0
2024-03-22 07:16:30,20,1,12.1,65,10.1,0.0,24140.0
2024-03-22 07:38:37,20,9,12.6,62,10.6,0.0,24140.0
2024-03-22 08:22:06,20,8,13.9,57,12.0,0.0,24140.0
2024-03-22 08:38:27,20,14,14.4,53,12.5,0.0,24140.0
2024-03-22 09:19:46,20,11,15.8,45,13.9,0.0,24140.0
2024-03-22 09:39:08,20,6,16.1,44,14.3,0.0,24140.0
2024-03-22 10:18:53,20,8,16.9,42,14.6,0.0,24140.0
2024-03-22 10:38:57,20,8,17.0,40,14.2,0.0,24140.0
2024-03-22 11:14:33,20,6,17.2,38,14.2,0.0,24140.0
2024-03-22 11:38:42,20,9,17.7,37,14.9,0.0,24140.0
2024-03-22 12:30:38,20,17,18.4,36,15.6,0.0,24140.0
2024-03-22 12:51:24,20,18,18.5,37,15.8,0.0,24140.0
2024-03-22 13:18:25,20,20,18.6,36,16.0,0.0,24140.0
2024-03-22 13:38:50,20,20,19.0,32,16.1,0.0,24140.0
2024-03-22 14:16:47,20,8,19.0,30,15.7,0.0,24140.0
2024-03-22 14:38:35,20,10,18.9,31,15.7,0.0,24140.0
2024-03-22 15:17:11,20,15,18.5,32,15.5,0.0,24140.0
2024-03-22 15:39:41,20,14,18.4,32,15.6,0.0,24140.0
2024-03-22 16:22:04,20,19,17.8,34,15.3,0.0,24140.0
2024-03-22 16:39:52,20,18,17.6,37,15.3,0.0,24140.0
2024-03-22 17:15:03,20,14,16.0,50,14.4,0.0,24140.0
2024-03-22 17:38:42,20,11,14.9,54,13.6,0.0,24140.0
2024-03-22 18:20:20,20,14,12.7,63,11.2,0.0,24140.0
2024-03-22 18:38:29,20,17,12.2,63,10.8,0.0,24140.0
2024-03-22 19:15:43,20,16,11.4,61,9.9,0.0,24140.0
2024-03-22 19:38:30,20,18,10.9,63,9.3,0.0,24140.0
2024-03-22 20:18:18,20,17,10.5,63,8.8,0.0,24140.0
2024-03-22 20:38:42,20,18,10.4,63,8.6,0.0,24140.0
2024-03-22 21:15:35,20,18,9.9,62,8.1,0.0,24140.0
2024-03-22 21:38:50,20,18,9.7,63,8.0,0.0,24140.0
2024-03-22 22:17:18,20,19,9.2,64,7.4,0.0,24140.0
2024-03-22 22:38:43,20,19,8.1,71,6.5,0.0,24140.0
2024-03-22 23:16:43,20,18,7.8,71,6.0,0.0,24140.0
2024-03-22 23:39:56,20,18,7.7,71,5.9,0.0,24140.0
2024-03-23 01:09:57,20,18,7.4,72,5.7,0.0,24140.0
2024-03-23 02:04:30,20,20,6.8,84,4.9,0.0,24140.0
2024-03-23 02:39:06,20,20,6.3,89,4.6,0.0,24140.0
2024-03-23 03:19:14,20,20,6.1,92,4.6,0.0,24140.0
2024-03-23 03:39:01,20,20,6.3,91,4.9,0.0,24140.0
2024-03-23 04:21:33,20,20,6.8,88,5.4,0.0,24140.0
2024-03-23 04:39:06,20,20,6.4,89,4.9,0.0,24140.0
2024-03-23 05:17:35,20,20,6.3,91,4.7,0.0,24140.0
2024-03-23 05:38:42,20,20,6.4,90,4.9,0.0,24140.0
2024-03-23 06:25:37,20,20,7.1,87,5.7,0.0,24140.0
2024-03-23 06:41:00,20,20,7.5,85,6.1,0.0,24140.0
2024-03-23 07:16:48,20,19,8.9,78,7.5,0.0,24140.0
2024-03-23 07:38:59,20,19,9.4,77,8.1,0.0,24140.0
2024-03-23 08:19:27,20,19,11.6,66,10.1,0.0,24140.0
2024-03-23 08:38:30,20,19,12.6,62,11.1,0.0,24140.0
